Level 2,Level 3,Level 4,Level 5,GVA,GDP,Total Sales m,Available Sales m
Manufacturing Industry,Service Design,Discovery,Market research,1.11,1.35,0.95,0.48
Manufacturing Industry,Service Design,Discovery,Market analysis,0.61,0.70,0.49,0.18
Manufacturing Industry,Service Design,Discovery,Customer Insights,1.01,1.37,0.88,0.38
Manufacturing Industry,Service Design,Discovery,Competitor analysis,0.55,0.66,0.44,0.17
Manufacturing Industry,Service Design,Discovery,Audit ,0.80,1.00,0.65,0.21
Manufacturing Industry,Service Design,Define,Service strategy,1.19,1.51,0.98,0.33
Manufacturing Industry,Service Design,Define,Customer strategy,0.56,0.71,0.47,0.22
Manufacturing Industry,Service Design,Define,Communications strategy,1.27,1.55,1.06,0.33
Manufacturing Industry,Service Design,Define,Engagement strategy,1.16,1.43,0.96,0.40
Manufacturing Industry,Service Design,Define,Design thinking,0.79,0.99,0.63,0.20
Manufacturing Industry,Service Design,Develop,Strategy development,14.58,18.41,11.89,3.04
Manufacturing Industry,Service Design,Develop,Design development,15.60,20.10,13.13,7.58
Manufacturing Industry,Service Design,Develop,Program design,13.02,16.01,11.02,3.71
Manufacturing Industry,Service Design,Develop,Presentation design,9.00,11.56,7.59,3.27
Manufacturing Industry,Service Design,Deliver,Documentation,9.56,12.43,8.02,3.88
Manufacturing Industry,Service Design,Deliver,Print production,6.79,8.63,5.84,2.60
Manufacturing Industry,Service Design,Deliver,Digital touchpoints,8.73,11.32,7.47,4.03
Manufacturing Industry,Service Design,Deliver,Production management,8.77,11.20,7.44,3.61
Manufacturing Industry,Service Design,Deliver,Implementation,8.54,10.65,7.10,2.46
Manufacturing Industry,Service Design,Discovery,Training,0.00,0.00,0.00,0.00
Manufacturing Industry,Service Design,No Data,Customer Experience Model,0.00,0.00,0.00,0.00
Manufacturing Industry,Service Design,Discovery,User Testing Services,0.00,0.00,0.00,0.00
Manufacturing Industry,Service Design,No Data,Scenarios,0.00,0.00,0.00,0.00
Manufacturing Industry,Service Design,No Data,Profiles,0.00,0.00,0.00,0.00
Manufacturing Industry,InnovationInvention,Discovery,Market research,0.56,0.67,0.47,0.14
Manufacturing Industry,InnovationInvention,Discovery,Market analysis,0.65,0.84,0.54,0.26
Manufacturing Industry,InnovationInvention,Discovery,Customer Insights,0.60,0.70,0.49,0.27
Manufacturing Industry,InnovationInvention,Discovery,Competitor analysis,0.69,0.86,0.55,0.14
Manufacturing Industry,InnovationInvention,Discovery,Audit ,0.67,0.82,0.54,0.17
Manufacturing Industry,InnovationInvention,Define,Brand strategy,1.16,1.41,0.97,0.50
Manufacturing Industry,InnovationInvention,Define,Customer strategy,1.50,1.93,1.26,0.51
Manufacturing Industry,InnovationInvention,Define,Digital strategy,0.71,0.91,0.61,0.20
Manufacturing Industry,InnovationInvention,Define,Engagement strategy,0.79,1.03,0.67,0.19
Manufacturing Industry,InnovationInvention,Define,Design thinking,0.94,1.10,0.77,0.23
Manufacturing Industry,InnovationInvention,Develop,Strategy development,15.13,18.46,12.08,4.77
Manufacturing Industry,InnovationInvention,Develop,Design development,12.63,15.24,10.09,4.80
Manufacturing Industry,InnovationInvention,Develop,Program design,15.02,18.18,12.35,3.51
Manufacturing Industry,InnovationInvention,Deliver,Documentation,6.07,7.68,5.18,1.91
Manufacturing Industry,InnovationInvention,Deliver,Print production,5.85,7.30,5.02,2.24
Manufacturing Industry,InnovationInvention,Deliver,Digital touchpoints,11.96,14.44,9.76,5.72
Manufacturing Industry,InnovationInvention,Deliver,Production management,11.93,13.65,9.58,4.65
Manufacturing Industry,InnovationInvention,Deliver,Implementation,11.84,14.65,9.87,3.51
Manufacturing Industry,Design Education,Discovery,Market research,1.62,2.12,1.38,0.83
Manufacturing Industry,Design Education,Discovery,Market analysis,1.57,1.79,1.26,0.48
Manufacturing Industry,Design Education,Discovery,Customer Insights,0.98,1.15,0.79,0.45
Manufacturing Industry,Design Education,Discovery,Competitor analysis,1.66,2.01,1.33,0.40
Manufacturing Industry,Design Education,Discovery,Audit ,1.13,1.47,0.96,0.50
Manufacturing Industry,Design Education,Define,Brand strategy,0.90,1.08,0.73,0.15
Manufacturing Industry,Design Education,Define,Customer strategy,0.89,1.09,0.74,0.18
Manufacturing Industry,Design Education,Define,Digital strategy,1.46,1.89,1.21,0.56
Manufacturing Industry,Design Education,Define,Engagement strategy,1.10,1.39,0.89,0.36
Manufacturing Industry,Design Education,Define,Design thinking,1.21,1.40,0.97,0.45
Manufacturing Industry,Design Education,Develop,Strategy development,28.57,38.30,24.77,12.90
Manufacturing Industry,Design Education,Develop,Design development,26.90,33.67,22.06,5.09
Manufacturing Industry,Design Education,Develop,Program design,30.58,36.78,24.86,11.98
Manufacturing Industry,Design Education,Deliver,Documentation,10.29,13.85,8.96,3.30
Manufacturing Industry,Design Education,Deliver,Print production,10.80,13.69,9.28,4.29
Manufacturing Industry,Design Education,Deliver,Digital touchpoints,13.83,16.79,11.30,4.79
Manufacturing Industry,Design Education,Deliver,Production management,12.38,16.56,10.78,5.00
Manufacturing Industry,Design Education,Deliver,Implementation,7.13,8.69,6.03,3.62
Process Industry, Strategy,Discovery,Brand audit,0.04,0.06,0.04,0.02
Process Industry, Strategy,Discovery,Market research,0.05,0.07,0.04,0.02
Process Industry, Strategy,Discovery,MarketCompetitor Analysis,0.07,0.08,0.06,0.03
Process Industry, Strategy,Discovery,Problem definition,0.07,0.08,0.05,0.02
Process Industry, Strategy,Discovery,Customer insights,0.04,0.05,0.03,0.02
Process Industry, Strategy,Discovery,Customer journey mapping,0.07,0.08,0.05,0.03
Process Industry, Strategy,Discovery,Problem definition,0.05,0.06,0.04,0.02
Process Industry, Strategy,Discovery,Brand strategy review,0.04,0.05,0.03,0.01
Process Industry, Strategy,Discovery,Organisational structure review,0.09,0.12,0.08,0.04
Process Industry, Strategy,Discovery,Resource needs identified,0.05,0.05,0.04,0.01
Process Industry, Strategy,Discovery,Comms audit,0.08,0.10,0.07,0.03
Process Industry, Strategy,Discovery,Channel analysis,0.06,0.08,0.05,0.01
Process Industry, Strategy,Define,Brand strategy development,0.09,0.11,0.08,0.02
Process Industry, Strategy,Define,Competitive Positioning ,0.11,0.13,0.09,0.03
Process Industry, Strategy,Define,Brand Definition,0.08,0.10,0.07,0.04
Process Industry, Strategy,Define,Customer segmentation,0.12,0.14,0.10,0.06
Process Industry, Strategy,Define,Customer journey development,0.11,0.14,0.09,0.03
Process Industry, Strategy,Define,Customer experience strategy,0.11,0.14,0.09,0.04
Process Industry, Strategy,Define,Channel strategy,0.12,0.15,0.10,0.03
Process Industry, Strategy,Define,Digital strategy,0.09,0.11,0.08,0.03
Process Industry, Strategy,Define,Service definition,0.10,0.13,0.09,0.04
Process Industry, Strategy,Define,Product ideation,0.11,0.13,0.09,0.02
Process Industry, Strategy,Define,Customer segmentation,0.09,0.12,0.08,0.04
Process Industry, Strategy,Define,Persona development,0.08,0.11,0.07,0.03
Process Industry, Strategy,Define,Customer journey development,0.11,0.14,0.09,0.04
Process Industry, Strategy,Define,Customer experience strategy,0.12,0.15,0.10,0.03
Process Industry, Strategy,Define,Product ideation,0.06,0.08,0.05,0.01
Process Industry, Strategy,Define,Engagement strategy,0.11,0.14,0.09,0.03
Process Industry, Strategy,Define,Campaign idea,0.11,0.14,0.09,0.03
Process Industry, Strategy,Define,Program design,0.11,0.13,0.09,0.04
Process Industry, Strategy,Define,Content definition,0.08,0.10,0.07,0.03
Process Industry, Strategy,Define,Program planning ,0.05,0.07,0.05,0.01
Process Industry, Strategy,Develop,Value proposition,1.16,1.46,0.98,0.36
Process Industry, Strategy,Develop,Brand architecture,1.56,1.97,1.31,0.74
Process Industry, Strategy,Develop,Vision  Purpose,1.22,1.55,1.02,0.41
Process Industry, Strategy,Develop,Mission  Ambition,1.03,1.24,0.83,0.26
Process Industry, Strategy,Develop,Brand story,1.46,1.89,1.24,0.49
Process Industry, Strategy,Develop,Customer experience design,1.23,1.54,1.04,0.27
Process Industry, Strategy,Develop,Service design,1.58,2.02,1.36,0.42
Process Industry, Strategy,Develop,Product design,1.28,1.58,1.08,0.45
Process Industry, Strategy,Develop,Touchpoint design,0.75,0.92,0.65,0.26
Process Industry, Strategy,Develop,Campaign idea development,1.30,1.63,1.07,0.37
Process Industry, Strategy,Develop,Messaging development,1.19,1.50,1.00,0.54
Process Industry, Strategy,Develop,Content development,1.49,1.93,1.29,0.36
Process Industry, Strategy,Develop,Collateral design,1.14,1.39,0.97,0.26
Process Industry, Strategy,Develop,Channel build,1.21,1.64,1.05,0.35
Process Industry, Strategy,Develop,Reporting model,0.85,0.98,0.69,0.40
Process Industry, Strategy,Deliver,Brand strategy documentation,0.53,0.68,0.45,0.17
Process Industry, Strategy,Deliver,Business case development,0.79,0.97,0.66,0.34
Process Industry, Strategy,Deliver,Board papers,0.60,0.70,0.49,0.20
Process Industry, Strategy,Deliver,Implementation roadmap,0.74,0.90,0.60,0.26
Process Industry, Strategy,Deliver,CX strategy documentation,0.73,0.93,0.62,0.24
Process Industry, Strategy,Deliver,Business case development,0.57,0.71,0.46,0.17
Process Industry, Strategy,Deliver,Board papers,0.76,0.91,0.62,0.32
Process Industry, Strategy,Deliver,Implementation roadmap,0.57,0.73,0.49,0.11
Process Industry, Strategy,Deliver,Launch campaign,0.76,0.94,0.61,0.29
Process Industry, Strategy,Deliver,Program collateral,0.45,0.56,0.37,0.14
Process Industry, Strategy,Deliver,Digital comms channel,0.42,0.50,0.34,0.15
Process Industry, Strategy,Deliver,Program content,0.78,0.90,0.62,0.18
Process Industry, Strategy,Deliver,Analysis,0.55,0.67,0.46,0.14
Process Industry, Strategy,Deliver,Reporting,0.38,0.46,0.32,0.07
Process Industry,Graphic Design,Discovery,Market research,0.06,0.07,0.05,0.03
Process Industry,Graphic Design,Discovery,Market analysis,0.09,0.11,0.07,0.02
Process Industry,Graphic Design,Discovery,Customer Insights,0.07,0.09,0.06,0.03
Process Industry,Graphic Design,Discovery,Competitor analysis,0.11,0.13,0.09,0.03
Process Industry,Graphic Design,Discovery,Competitor analysis,0.07,0.09,0.06,0.03
Process Industry,Graphic Design,Discovery,Identity audit,0.07,0.09,0.06,0.03
Process Industry,Graphic Design,Discovery,Packaging audit,0.06,0.07,0.05,0.02
Process Industry,Graphic Design,Discovery,Retail audit,0.05,0.07,0.05,0.02
Process Industry,Graphic Design,Discovery,Signage audit,0.10,0.13,0.08,0.04
Process Industry,Graphic Design,Discovery,Production planning,0.05,0.07,0.05,0.01
Process Industry,Graphic Design,Discovery,Audit ,0.06,0.07,0.05,0.01
Process Industry,Graphic Design,Define,Brand strategy,0.04,0.05,0.04,0.01
Process Industry,Graphic Design,Define,Customer strategy,0.07,0.09,0.06,0.03
Process Industry,Graphic Design,Define,Digital strategy,0.05,0.07,0.04,0.02
Process Industry,Graphic Design,Define,Engagement strategy,0.06,0.07,0.05,0.01
Process Industry,Graphic Design,Define,Design strategy,0.08,0.11,0.07,0.03
Process Industry,Graphic Design,Define,Creative territory ,0.09,0.12,0.08,0.03
Process Industry,Graphic Design,Define,Resource needs identified,0.05,0.07,0.05,0.01
Process Industry,Graphic Design,Define,Design strategy,0.09,0.12,0.08,0.04
Process Industry,Graphic Design,Define,Product architecture,0.05,0.07,0.05,0.03
Process Industry,Graphic Design,Define,Portfolio management ,0.07,0.09,0.06,0.02
Process Industry,Graphic Design,Define,Channel strategy,0.07,0.09,0.06,0.03
Process Industry,Graphic Design,Define,New product development (NPD),0.07,0.10,0.06,0.02
Process Industry,Graphic Design,Define,Signage system  architecture,0.05,0.06,0.04,0.02
Process Industry,Graphic Design,Develop,Strategy development,1.23,1.59,1.02,0.31
Process Industry,Graphic Design,Develop,Design development,1.26,1.55,1.03,0.52
Process Industry,Graphic Design,Develop,Program design,1.03,1.30,0.88,0.22
Process Industry,Graphic Design,Develop,Identity design,1.87,2.53,1.64,0.90
Process Industry,Graphic Design,Develop,Communication design,0.95,1.14,0.78,0.27
Process Industry,Graphic Design,Develop,Marketing collateral,0.88,1.13,0.76,0.40
Process Industry,Graphic Design,Develop,Corporate collateral,1.37,1.84,1.19,0.65
Process Industry,Graphic Design,Develop,Publications,1.48,1.74,1.22,0.38
Process Industry,Graphic Design,Develop,Artwork files,1.08,1.31,0.88,0.34
Process Industry,Graphic Design,Develop,Licencing,1.29,1.66,1.07,0.60
Process Industry,Graphic Design,Develop,Illustration design,1.75,2.38,1.53,0.41
Process Industry,Graphic Design,Develop,Animation,0.87,1.09,0.75,0.17
Process Industry,Graphic Design,Develop,Shoot planning,1.16,1.42,0.94,0.31
Process Industry,Graphic Design,Develop,Logistics ,1.72,2.18,1.45,0.83
Process Industry,Graphic Design,Develop,Photographic shoot,1.62,1.87,1.30,0.66
Process Industry,Graphic Design,Develop,Packaging design,0.88,1.05,0.72,0.35
Process Industry,Graphic Design,Develop,Positional Graphics,1.05,1.31,0.85,0.41
Process Industry,Graphic Design,Develop,Environmental graphics,1.30,1.57,1.06,0.27
Process Industry,Graphic Design,Develop,Type design,1.61,2.08,1.36,0.70
Process Industry,Graphic Design,Deliver,Documentation,0.59,0.79,0.51,0.12
Process Industry,Graphic Design,Deliver,Print production,0.68,0.88,0.58,0.20
Process Industry,Graphic Design,Deliver,Digital touchpoints,0.43,0.52,0.34,0.14
Process Industry,Graphic Design,Deliver,Production management,0.42,0.56,0.36,0.09
Process Industry,Graphic Design,Deliver,Implementation,0.73,0.87,0.61,0.30
Process Industry,Graphic Design,Deliver,Brand guidelines,0.67,0.82,0.57,0.20
Process Industry,Graphic Design,Deliver,Electronic artwork,0.62,0.78,0.50,0.27
Process Industry,Graphic Design,Deliver,Electronic templates,0.76,0.95,0.63,0.29
Process Industry,Graphic Design,Deliver,Rendering,0.78,0.94,0.65,0.28
Process Industry,Graphic Design,Deliver,Post-production,0.65,0.77,0.53,0.25
Process Industry,Graphic Design,Deliver,File preparation,0.55,0.73,0.48,0.21
Process Industry,Graphic Design,Deliver,Licencing agreements,0.58,0.71,0.47,0.25
Process Industry,Graphic Design,Deliver,Production artwork,0.80,0.97,0.64,0.15
Process Industry,Graphic Design,Deliver,Production management,0.49,0.60,0.42,0.21
Process Industry,Graphic Design,Deliver,IP Management Advice,0.74,0.94,0.64,0.34
Process Industry,Graphic Design,Deliver,Advice on the Development of Routes to Market ,0.54,0.65,0.45,0.15
Process Industry,Interactive Design,Discovery,Market research,0.11,0.13,0.09,0.03
Process Industry,Interactive Design,Discovery,Market analysis,0.06,0.07,0.05,0.03
Process Industry,Interactive Design,Discovery,Customer Insights,0.10,0.12,0.08,0.02
Process Industry,Interactive Design,Discovery,Competitor analysis,0.11,0.14,0.09,0.02
Process Industry,Interactive Design,Discovery,Audit ,0.06,0.08,0.05,0.02
Process Industry,Interactive Design,Discovery,Digital analysis,0.10,0.12,0.08,0.04
Process Industry,Interactive Design,Discovery,Data analysis,0.08,0.10,0.07,0.03
Process Industry,Interactive Design,Discovery,Usability study,0.11,0.13,0.09,0.04
Process Industry,Interactive Design,Discovery,User insights,0.11,0.13,0.09,0.03
Process Industry,Interactive Design,Discovery,Technology audit,0.08,0.10,0.07,0.02
Process Industry,Interactive Design,Define,Brand strategy,0.10,0.13,0.08,0.04
Process Industry,Interactive Design,Define,Customer strategy,0.10,0.12,0.08,0.04
Process Industry,Interactive Design,Define,Digital strategy,0.19,0.23,0.16,0.05
Process Industry,Interactive Design,Define,Engagement strategy,0.15,0.19,0.12,0.06
Process Industry,Interactive Design,Define,Digital strategy,0.09,0.11,0.07,0.02
Process Industry,Interactive Design,Define,Social media strategy,0.15,0.18,0.12,0.05
Process Industry,Interactive Design,Define,Information Architecture,0.13,0.17,0.11,0.05
Process Industry,Interactive Design,Define,Customer journey mapping,0.09,0.11,0.08,0.03
Process Industry,Interactive Design,Define,Personal development,0.11,0.14,0.09,0.03
Process Industry,Interactive Design,Define,SEO  SEM,0.14,0.18,0.12,0.03
Process Industry,Interactive Design,Define,Content strategy,0.11,0.13,0.09,0.04
Process Industry,Interactive Design,Define,Technology strategy,0.19,0.25,0.16,0.05
Process Industry,Interactive Design,Define,Comms strategy,0.13,0.16,0.11,0.06
Process Industry,Interactive Design,Develop,Strategy development,3.44,4.36,2.84,1.24
Process Industry,Interactive Design,Develop,Design development,4.37,5.40,3.77,1.92
Process Industry,Interactive Design,Develop,Program design,2.71,3.46,2.24,1.01
Process Industry,Interactive Design,Develop,Front-end development,3.42,4.37,2.85,1.09
Process Industry,Interactive Design,Develop,Interactive design,4.60,5.32,3.67,0.98
Process Industry,Interactive Design,Develop,Wireframes,3.99,4.71,3.28,0.79
Process Industry,Interactive Design,Develop,User interface design,3.64,4.67,3.10,0.83
Process Industry,Interactive Design,Develop,User Experience design (UX),4.42,5.79,3.82,2.08
Process Industry,Interactive Design,Develop,User testing,2.50,3.18,2.04,0.95
Process Industry,Interactive Design,Develop,Content management system ,4.02,4.87,3.34,1.56
Process Industry,Interactive Design,Develop,Content development,2.60,3.20,2.14,0.59
Process Industry,Interactive Design,Develop,Browser testing,4.87,6.17,4.01,2.31
Process Industry,Interactive Design,Develop,Product prototyping,2.83,3.51,2.35,1.15
Process Industry,Interactive Design,Deliver,Documentation,0.72,0.86,0.59,0.27
Process Industry,Interactive Design,Deliver,Print production,1.07,1.37,0.89,0.21
Process Industry,Interactive Design,Deliver,Digital touchpoints,1.47,1.78,1.21,0.38
Process Industry,Interactive Design,Deliver,Production management,1.53,1.86,1.24,0.38
Process Industry,Interactive Design,Deliver,Implementation,0.70,0.88,0.61,0.36
Process Industry,Interactive Design,Deliver,Back-end development,1.15,1.41,0.97,0.50
Process Industry,Interactive Design,Deliver,Usability testing,0.94,1.14,0.76,0.21
Process Industry,Interactive Design,Deliver,CMS Training,1.32,1.58,1.08,0.56
Process Industry,Interactive Design,Deliver,System build,1.36,1.65,1.11,0.47
Process Industry,Interactive Design,Deliver,Programming,0.74,1.00,0.65,0.30
Process Industry,Interactive Design,Deliver,User analytics,0.85,1.00,0.69,0.15
Process Industry,Interactive Design,Deliver,Development,0.88,1.05,0.72,0.35
Process Industry,Interactive Design,Deliver,Software testing,0.80,0.98,0.67,0.40
Process Industry,Interactive Design,Deliver,Device  testing,1.09,1.36,0.94,0.45
Process Industry,Interactive Design,Deliver,UAT - User acceptance,1.04,1.27,0.85,0.22
Process Industry,Interactive Design,Deliver,BAT - Business acceptance,1.55,1.79,1.25,0.44
Process Industry,Interactive Design,Deliver,System testing,0.89,1.06,0.73,0.38
Process Industry,Interactive Design,Deliver,Security testing,1.41,1.72,1.18,0.66
Process Industry,Interactive Design,Deliver,Server build ,1.20,1.47,0.97,0.39
Process Industry,Interactive Design,Deliver,Deployment ,1.36,1.75,1.14,0.43
Process Industry,Interactive Design,Deliver,API Integration Support Services,0.67,0.81,0.56,0.29
Process Industry,Interactive Design,Deliver,Performance Optimisation Support Services,1.33,1.75,1.16,0.54
Process Industry,Spatial Design,Discovery,Market research,0.03,0.04,0.02,0.01
Process Industry,Spatial Design,Discovery,Market analysis,0.04,0.05,0.04,0.01
Process Industry,Spatial Design,Discovery,Customer Insights,0.02,0.03,0.02,0.01
Process Industry,Spatial Design,Discovery,Competitor analysis,0.03,0.04,0.03,0.01
Process Industry,Spatial Design,Discovery,Audit ,0.05,0.06,0.04,0.02
Process Industry,Spatial Design,Discovery,Category analysis,0.05,0.06,0.04,0.02
Process Industry,Spatial Design,Discovery,User needs analysis,0.03,0.03,0.02,0.01
Process Industry,Spatial Design,Discovery,User insights,0.05,0.06,0.04,0.01
Process Industry,Spatial Design,Discovery,Customer journey mapping,0.04,0.05,0.04,0.02
Process Industry,Spatial Design,Discovery,In category research,0.02,0.03,0.02,0.01
Process Industry,Spatial Design,Discovery,Out-of-category research,0.04,0.05,0.04,0.01
Process Industry,Spatial Design,Discovery,Inspiration,0.03,0.04,0.03,0.01
Process Industry,Spatial Design,Discovery,Materiality study,0.03,0.04,0.02,0.01
Process Industry,Spatial Design,Discovery,Site surveyanalysis,0.03,0.04,0.03,0.02
Process Industry,Spatial Design,Discovery,Environmental study,0.05,0.06,0.04,0.02
Process Industry,Spatial Design,Discovery,Space planning ,0.05,0.06,0.04,0.02
Process Industry,Spatial Design,Discovery,Modelling,0.04,0.04,0.03,0.01
Process Industry,Spatial Design,Discovery,Visual audit,0.03,0.04,0.03,0.02
Process Industry,Spatial Design,Discovery,Design brief,0.04,0.05,0.03,0.02
Process Industry,Spatial Design,Discovery,Project Programme,0.04,0.04,0.03,0.01
Process Industry,Spatial Design,Define,Brand strategy,0.05,0.06,0.04,0.01
Process Industry,Spatial Design,Define,Customer strategy,0.05,0.07,0.04,0.03
Process Industry,Spatial Design,Define,Digital strategy,0.06,0.08,0.05,0.02
Process Industry,Spatial Design,Define,Engagement strategy,0.06,0.07,0.05,0.03
Process Industry,Spatial Design,Define,Design strategy,0.05,0.07,0.05,0.03
Process Industry,Spatial Design,Define,Journey mapping,0.05,0.06,0.04,0.03
Process Industry,Spatial Design,Define,Architectural design,0.07,0.09,0.06,0.02
Process Industry,Spatial Design,Define,Retail strategy,0.06,0.08,0.05,0.03
Process Industry,Spatial Design,Define,Retail design ,0.04,0.05,0.03,0.01
Process Industry,Spatial Design,Define,Branded environments,0.05,0.07,0.04,0.02
Process Industry,Spatial Design,Define,Ideation,0.04,0.05,0.03,0.01
Process Industry,Spatial Design,Define,Place branding,0.05,0.06,0.04,0.01
Process Industry,Spatial Design,Define,Corporate fit-out,0.06,0.07,0.05,0.03
Process Industry,Spatial Design,Define,Concept store design,0.05,0.06,0.04,0.01
Process Industry,Spatial Design,Define,Installations,0.04,0.05,0.04,0.02
Process Industry,Spatial Design,Define,Museum design,0.04,0.05,0.03,0.01
Process Industry,Spatial Design,Define,Experience design,0.03,0.04,0.03,0.01
Process Industry,Spatial Design,Define,Pop up retail,0.07,0.08,0.05,0.02
Process Industry,Spatial Design,Define,Wayfinding ,0.05,0.06,0.04,0.02
Process Industry,Spatial Design,Define,Signage programs,0.04,0.04,0.03,0.01
Process Industry,Spatial Design,Define,Network transformation,0.04,0.05,0.03,0.02
Process Industry,Spatial Design,Develop,Strategy development,0.85,1.03,0.69,0.16
Process Industry,Spatial Design,Develop,Design development,0.67,0.80,0.55,0.24
Process Industry,Spatial Design,Develop,Program design,1.10,1.42,0.96,0.30
Process Industry,Spatial Design,Develop,Concept design,1.13,1.46,0.98,0.42
Process Industry,Spatial Design,Develop,Design drawings,0.74,0.86,0.60,0.31
Process Industry,Spatial Design,Develop,Detailed drawings,0.77,0.97,0.62,0.18
Process Industry,Spatial Design,Develop,CAD drawings,0.89,1.06,0.74,0.40
Process Industry,Spatial Design,Develop,Specifications,0.63,0.78,0.52,0.28
Process Industry,Spatial Design,Develop,Tender preparation,0.70,0.90,0.60,0.22
Process Industry,Spatial Design,Develop,Tender process management,0.68,0.82,0.54,0.24
Process Industry,Spatial Design,Develop,Interior design,0.63,0.74,0.51,0.26
Process Industry,Spatial Design,Develop,Installation design,0.75,0.89,0.61,0.31
Process Industry,Spatial Design,Develop,Environmental graphics,1.01,1.17,0.82,0.44
Process Industry,Spatial Design,Develop,Concept presentations,1.15,1.42,1.00,0.21
Process Industry,Spatial Design,Develop,Site selection and test fits,0.77,1.00,0.65,0.27
Process Industry,Spatial Design,Develop,Block planning,0.94,1.19,0.79,0.25
Process Industry,Spatial Design,Develop,Furniture & finishes  study,1.18,1.50,0.99,0.43
Process Industry,Spatial Design,Develop,Low & hi -fi Prototyping,0.88,1.09,0.71,0.38
Process Industry,Spatial Design,Develop,Budget costing,1.16,1.36,0.94,0.52
Process Industry,Spatial Design,Develop,FF&E schedules,0.77,0.92,0.63,0.26
Process Industry,Spatial Design,Develop,Consultant liaison,1.06,1.31,0.86,0.50
Process Industry,Spatial Design,Develop,Local authority liaison,0.63,0.82,0.54,0.28
Process Industry,Spatial Design,Deliver,Documentation,0.72,0.96,0.62,0.31
Process Industry,Spatial Design,Deliver,Print production,0.67,0.81,0.54,0.27
Process Industry,Spatial Design,Deliver,Digital touchpoints,0.35,0.43,0.29,0.17
Process Industry,Spatial Design,Deliver,Production management,0.59,0.77,0.50,0.18
Process Industry,Spatial Design,Deliver,Implementation,0.37,0.46,0.31,0.12
Process Industry,Spatial Design,Deliver,Fit-out management,0.57,0.70,0.48,0.22
Process Industry,Spatial Design,Deliver,Site supervision,0.54,0.71,0.47,0.18
Process Industry,Spatial Design,Deliver,Supplier liaison,0.67,0.84,0.57,0.14
Process Industry,Spatial Design,Deliver,Tender,0.55,0.67,0.46,0.15
Process Industry,Spatial Design,Deliver,Resource consent,0.39,0.47,0.32,0.17
Process Industry,Spatial Design,Deliver,Building consent,0.68,0.90,0.59,0.33
Process Industry,Spatial Design,Deliver,Contract observation,0.38,0.48,0.32,0.12
Process Industry,Spatial Design,Deliver,FF&E procurement,0.65,0.79,0.55,0.30
Process Industry,Spatial Design,Deliver,Local authority liaison,0.51,0.65,0.42,0.22
Process Industry,Spatial Design,Deliver,Consultant liaison,0.74,0.89,0.62,0.31
Process Industry,Spatial Design,Deliver,Project remedials,0.48,0.60,0.42,0.20
Process Industry,Spatial Design,Deliver,Site handover,0.60,0.77,0.52,0.28
Process Industry,Spatial Design,Deliver,Final concept presentation,0.33,0.42,0.28,0.10
Process Industry,Spatial Design,Deliver,3D visuals and renders,0.49,0.59,0.40,0.19
Process Industry,Product Design,Discovery,Market research,0.11,0.13,0.09,0.03
Process Industry,Product Design,Discovery,Market analysis,0.11,0.14,0.09,0.02
Process Industry,Product Design,Discovery,Customer Insights,0.10,0.12,0.08,0.02
Process Industry,Product Design,Discovery,Competitor analysis,0.08,0.10,0.07,0.04
Process Industry,Product Design,Discovery,Audit ,0.12,0.15,0.10,0.05
Process Industry,Product Design,Discovery,Market Research,0.10,0.12,0.08,0.04
Process Industry,Product Design,Discovery,Ergonomic study,0.11,0.14,0.09,0.05
Process Industry,Product Design,Discovery,Material audit,0.10,0.13,0.09,0.03
Process Industry,Product Design,Discovery,User needs analysis,0.08,0.10,0.07,0.03
Process Industry,Product Design,Discovery,Market Research,0.12,0.15,0.10,0.03
Process Industry,Product Design,Discovery,Ergonomic study,0.08,0.10,0.07,0.04
Process Industry,Product Design,Discovery,Material audit,0.07,0.10,0.07,0.03
Process Industry,Product Design,Discovery,User needs analysis,0.08,0.10,0.06,0.03
Process Industry,Product Design,Define,Brand strategy,0.19,0.25,0.16,0.09
Process Industry,Product Design,Define,Customer strategy,0.15,0.18,0.12,0.06
Process Industry,Product Design,Define,Digital strategy,0.14,0.18,0.12,0.03
Process Industry,Product Design,Define,Engagement strategy,0.16,0.19,0.14,0.03
Process Industry,Product Design,Define,Design thinking,0.22,0.28,0.18,0.08
Process Industry,Product Design,Define,Product strategy,0.10,0.12,0.08,0.02
Process Industry,Product Design,Define,Market modelling,0.13,0.16,0.10,0.05
Process Industry,Product Design,Define,Production design,0.19,0.25,0.17,0.08
Process Industry,Product Design,Define,Pre-production costing,0.19,0.23,0.15,0.04
Process Industry,Product Design,Define,Distribution modelling,0.13,0.17,0.11,0.03
Process Industry,Product Design,Develop,Strategy development,2.18,2.83,1.86,0.47
Process Industry,Product Design,Develop,Design development,2.20,2.86,1.90,0.82
Process Industry,Product Design,Develop,Program design,1.76,2.07,1.44,0.30
Process Industry,Product Design,Develop,Ideation,2.77,3.77,2.42,0.56
Process Industry,Product Design,Develop,Visual concept development,3.55,4.17,2.90,0.67
Process Industry,Product Design,Develop,Aesthetic development,2.97,3.82,2.57,1.48
Process Industry,Product Design,Develop,Component planning,3.35,4.14,2.87,1.59
Process Industry,Product Design,Develop,Technology development,2.82,3.39,2.32,0.57
Process Industry,Product Design,Develop,CAD concepts,3.37,4.24,2.85,1.24
Process Industry,Product Design,Develop,Modelling,2.70,3.35,2.31,1.23
