Level 2,Level 3,Level 4,Level 5,GVA,GDP,Total Sales m,Available Sales m
Engineering Industry (excluding Civils),Graphic Design,Discovery,Packaging audit,0.07,0.08,0.06,0.01
Engineering Industry (excluding Civils),Graphic Design,Discovery,Retail audit,0.08,0.10,0.07,0.01
Engineering Industry (excluding Civils),Graphic Design,Discovery,Signage audit,0.07,0.09,0.06,0.03
Engineering Industry (excluding Civils),Graphic Design,Discovery,Production planning,0.09,0.10,0.07,0.03
Engineering Industry (excluding Civils),Graphic Design,Discovery,Audit ,0.08,0.10,0.06,0.02
Engineering Industry (excluding Civils),Graphic Design,Define,Brand strategy,0.10,0.12,0.08,0.02
Engineering Industry (excluding Civils),Graphic Design,Define,Customer strategy,0.09,0.11,0.07,0.03
Engineering Industry (excluding Civils),Graphic Design,Define,Digital strategy,0.08,0.10,0.07,0.03
Engineering Industry (excluding Civils),Graphic Design,Define,Engagement strategy,0.08,0.09,0.07,0.03
Engineering Industry (excluding Civils),Graphic Design,Define,Design strategy,0.05,0.06,0.04,0.02
Engineering Industry (excluding Civils),Graphic Design,Define,Creative territory ,0.10,0.13,0.08,0.04
Engineering Industry (excluding Civils),Graphic Design,Define,Resource needs identified,0.05,0.06,0.04,0.02
Engineering Industry (excluding Civils),Graphic Design,Define,Design strategy,0.09,0.11,0.07,0.04
Engineering Industry (excluding Civils),Graphic Design,Define,Product architecture,0.06,0.08,0.05,0.03
Engineering Industry (excluding Civils),Graphic Design,Define,Portfolio management ,0.09,0.11,0.08,0.04
Engineering Industry (excluding Civils),Graphic Design,Define,Channel strategy,0.08,0.10,0.07,0.02
Engineering Industry (excluding Civils),Graphic Design,Define,New product development (NPD),0.07,0.09,0.06,0.02
Engineering Industry (excluding Civils),Graphic Design,Define,Signage system  architecture,0.04,0.06,0.04,0.02
Engineering Industry (excluding Civils),Graphic Design,Develop,Strategy development,1.22,1.45,1.00,0.28
Engineering Industry (excluding Civils),Graphic Design,Develop,Design development,1.78,2.13,1.47,0.29
Engineering Industry (excluding Civils),Graphic Design,Develop,Program design,2.31,3.03,1.98,1.06
Engineering Industry (excluding Civils),Graphic Design,Develop,Identity design,2.20,2.57,1.79,1.05
Engineering Industry (excluding Civils),Graphic Design,Develop,Communication design,1.20,1.42,0.97,0.34
Engineering Industry (excluding Civils),Graphic Design,Develop,Marketing collateral,1.24,1.49,1.04,0.41
Engineering Industry (excluding Civils),Graphic Design,Develop,Corporate collateral,2.11,2.80,1.79,0.83
Engineering Industry (excluding Civils),Graphic Design,Develop,Publications,2.14,2.79,1.86,1.04
Engineering Industry (excluding Civils),Graphic Design,Develop,Artwork files,1.14,1.49,0.96,0.28
Engineering Industry (excluding Civils),Graphic Design,Develop,Licencing,1.05,1.32,0.91,0.20
Engineering Industry (excluding Civils),Graphic Design,Develop,Illustration design,2.16,2.61,1.82,0.48
Engineering Industry (excluding Civils),Graphic Design,Develop,Animation,1.62,1.86,1.30,0.49
Engineering Industry (excluding Civils),Graphic Design,Develop,Shoot planning,1.75,2.01,1.41,0.47
Engineering Industry (excluding Civils),Graphic Design,Develop,Logistics ,1.83,2.24,1.48,0.36
Engineering Industry (excluding Civils),Graphic Design,Develop,Photographic shoot,2.26,2.75,1.86,1.10
Engineering Industry (excluding Civils),Graphic Design,Develop,Packaging design,2.12,2.81,1.85,0.88
Engineering Industry (excluding Civils),Graphic Design,Develop,Positional Graphics,2.23,2.79,1.94,0.94
Engineering Industry (excluding Civils),Graphic Design,Develop,Environmental graphics,1.17,1.36,0.94,0.25
Engineering Industry (excluding Civils),Graphic Design,Develop,Type design,1.99,2.52,1.67,0.70
Engineering Industry (excluding Civils),Graphic Design,Deliver,Documentation,0.56,0.68,0.46,0.20
Engineering Industry (excluding Civils),Graphic Design,Deliver,Print production,0.42,0.52,0.35,0.18
Engineering Industry (excluding Civils),Graphic Design,Deliver,Digital touchpoints,0.47,0.57,0.40,0.21
Engineering Industry (excluding Civils),Graphic Design,Deliver,Production management,0.54,0.68,0.47,0.28
Engineering Industry (excluding Civils),Graphic Design,Deliver,Implementation,0.52,0.66,0.46,0.23
Engineering Industry (excluding Civils),Graphic Design,Deliver,Brand guidelines,0.38,0.47,0.31,0.16
Engineering Industry (excluding Civils),Graphic Design,Deliver,Electronic artwork,0.41,0.52,0.34,0.07
Engineering Industry (excluding Civils),Graphic Design,Deliver,Electronic templates,0.64,0.75,0.52,0.23
Engineering Industry (excluding Civils),Graphic Design,Deliver,Rendering,0.60,0.78,0.51,0.13
Engineering Industry (excluding Civils),Graphic Design,Deliver,Post-production,0.41,0.51,0.35,0.09
Engineering Industry (excluding Civils),Graphic Design,Deliver,File preparation,0.66,0.82,0.53,0.31
Engineering Industry (excluding Civils),Graphic Design,Deliver,Licencing agreements,0.37,0.44,0.31,0.09
Engineering Industry (excluding Civils),Graphic Design,Deliver,Production artwork,0.48,0.58,0.41,0.20
Engineering Industry (excluding Civils),Graphic Design,Deliver,Production management,0.58,0.74,0.50,0.13
Engineering Industry (excluding Civils),Graphic Design,Deliver,IP Management Advice,0.37,0.48,0.31,0.10
Engineering Industry (excluding Civils),Graphic Design,Deliver,Advice on the Development of Routes to Market ,0.68,0.78,0.55,0.21
Engineering Industry (excluding Civils),Interactive Design,Discovery,Market research,0.10,0.13,0.08,0.03
Engineering Industry (excluding Civils),Interactive Design,Discovery,Market analysis,0.07,0.09,0.06,0.03
Engineering Industry (excluding Civils),Interactive Design,Discovery,Customer Insights,0.14,0.16,0.11,0.05
Engineering Industry (excluding Civils),Interactive Design,Discovery,Competitor analysis,0.07,0.09,0.06,0.02
Engineering Industry (excluding Civils),Interactive Design,Discovery,Audit ,0.09,0.11,0.07,0.02
Engineering Industry (excluding Civils),Interactive Design,Discovery,Digital analysis,0.07,0.09,0.06,0.02
Engineering Industry (excluding Civils),Interactive Design,Discovery,Data analysis,0.07,0.09,0.06,0.03
Engineering Industry (excluding Civils),Interactive Design,Discovery,Usability study,0.08,0.10,0.07,0.03
Engineering Industry (excluding Civils),Interactive Design,Discovery,User insights,0.12,0.16,0.10,0.06
Engineering Industry (excluding Civils),Interactive Design,Discovery,Technology audit,0.06,0.09,0.06,0.02
Engineering Industry (excluding Civils),Interactive Design,Define,Brand strategy,0.13,0.15,0.10,0.04
Engineering Industry (excluding Civils),Interactive Design,Define,Customer strategy,0.12,0.16,0.10,0.03
Engineering Industry (excluding Civils),Interactive Design,Define,Digital strategy,0.12,0.16,0.10,0.03
Engineering Industry (excluding Civils),Interactive Design,Define,Engagement strategy,0.12,0.15,0.10,0.05
Engineering Industry (excluding Civils),Interactive Design,Define,Digital strategy,0.20,0.24,0.17,0.05
Engineering Industry (excluding Civils),Interactive Design,Define,Social media strategy,0.20,0.26,0.17,0.10
Engineering Industry (excluding Civils),Interactive Design,Define,Information Architecture,0.15,0.17,0.12,0.07
Engineering Industry (excluding Civils),Interactive Design,Define,Customer journey mapping,0.09,0.11,0.07,0.03
Engineering Industry (excluding Civils),Interactive Design,Define,Personal development,0.10,0.11,0.08,0.04
Engineering Industry (excluding Civils),Interactive Design,Define,SEO  SEM,0.18,0.24,0.15,0.08
Engineering Industry (excluding Civils),Interactive Design,Define,Content strategy,0.09,0.12,0.08,0.04
Engineering Industry (excluding Civils),Interactive Design,Define,Technology strategy,0.18,0.22,0.16,0.07
Engineering Industry (excluding Civils),Interactive Design,Define,Comms strategy,0.10,0.14,0.09,0.04
Engineering Industry (excluding Civils),Interactive Design,Develop,Strategy development,2.04,2.37,1.66,0.58
Engineering Industry (excluding Civils),Interactive Design,Develop,Design development,2.17,2.49,1.75,0.46
Engineering Industry (excluding Civils),Interactive Design,Develop,Program design,2.79,3.54,2.44,0.92
Engineering Industry (excluding Civils),Interactive Design,Develop,Front-end development,1.70,2.19,1.44,0.43
Engineering Industry (excluding Civils),Interactive Design,Develop,Interactive design,3.35,4.24,2.81,0.61
Engineering Industry (excluding Civils),Interactive Design,Develop,Wireframes,2.60,3.15,2.11,0.49
Engineering Industry (excluding Civils),Interactive Design,Develop,User interface design,1.65,1.99,1.40,0.76
Engineering Industry (excluding Civils),Interactive Design,Develop,User Experience design (UX),2.41,2.84,1.93,0.55
Engineering Industry (excluding Civils),Interactive Design,Develop,User testing,3.35,4.36,2.79,1.10
Engineering Industry (excluding Civils),Interactive Design,Develop,Content management system ,2.56,3.12,2.19,1.19
Engineering Industry (excluding Civils),Interactive Design,Develop,Content development,3.17,3.81,2.66,1.29
Engineering Industry (excluding Civils),Interactive Design,Develop,Browser testing,1.94,2.38,1.66,0.77
Engineering Industry (excluding Civils),Interactive Design,Develop,Product prototyping,3.19,3.99,2.67,0.70
Engineering Industry (excluding Civils),Interactive Design,Deliver,Documentation,1.09,1.36,0.93,0.37
Engineering Industry (excluding Civils),Interactive Design,Deliver,Print production,0.77,1.02,0.67,0.34
Engineering Industry (excluding Civils),Interactive Design,Deliver,Digital touchpoints,1.25,1.53,1.00,0.53
Engineering Industry (excluding Civils),Interactive Design,Deliver,Production management,1.63,2.02,1.37,0.40
Engineering Industry (excluding Civils),Interactive Design,Deliver,Implementation,1.40,1.85,1.19,0.25
Engineering Industry (excluding Civils),Interactive Design,Deliver,Back-end development,0.87,1.10,0.74,0.31
Engineering Industry (excluding Civils),Interactive Design,Deliver,Usability testing,1.57,2.09,1.37,0.39
Engineering Industry (excluding Civils),Interactive Design,Deliver,CMS Training,1.47,1.95,1.28,0.69
Engineering Industry (excluding Civils),Interactive Design,Deliver,System build,1.53,1.93,1.27,0.63
Engineering Industry (excluding Civils),Interactive Design,Deliver,Programming,1.59,2.02,1.35,0.71
Engineering Industry (excluding Civils),Interactive Design,Deliver,User analytics,1.38,1.76,1.14,0.37
Engineering Industry (excluding Civils),Interactive Design,Deliver,Development,0.84,1.10,0.71,0.37
Engineering Industry (excluding Civils),Interactive Design,Deliver,Software testing,1.35,1.72,1.12,0.60
Engineering Industry (excluding Civils),Interactive Design,Deliver,Device  testing,1.49,1.92,1.24,0.59
Engineering Industry (excluding Civils),Interactive Design,Deliver,UAT - User acceptance,1.56,1.94,1.29,0.59
Engineering Industry (excluding Civils),Interactive Design,Deliver,BAT - Business acceptance,1.11,1.39,0.97,0.56
Engineering Industry (excluding Civils),Interactive Design,Deliver,System testing,0.82,1.04,0.71,0.41
Engineering Industry (excluding Civils),Interactive Design,Deliver,Security testing,1.12,1.43,0.92,0.32
Engineering Industry (excluding Civils),Interactive Design,Deliver,Server build ,1.24,1.58,1.05,0.62
Engineering Industry (excluding Civils),Interactive Design,Deliver,Deployment ,0.83,1.05,0.67,0.40
Engineering Industry (excluding Civils),Interactive Design,Deliver,API Integration Support Services,1.46,1.97,1.28,0.41
Engineering Industry (excluding Civils),Interactive Design,Deliver,Performance Optimisation Support Services,1.20,1.46,0.96,0.30
Engineering Industry (excluding Civils),Spatial Design,Discovery,Market research,0.02,0.03,0.02,0.01
Engineering Industry (excluding Civils),Spatial Design,Discovery,Market analysis,0.05,0.07,0.04,0.03
Engineering Industry (excluding Civils),Spatial Design,Discovery,Customer Insights,0.05,0.06,0.04,0.01
Engineering Industry (excluding Civils),Spatial Design,Discovery,Competitor analysis,0.02,0.03,0.02,0.01
Engineering Industry (excluding Civils),Spatial Design,Discovery,Audit ,0.03,0.04,0.02,0.01
Engineering Industry (excluding Civils),Spatial Design,Discovery,Category analysis,0.03,0.03,0.02,0.01
Engineering Industry (excluding Civils),Spatial Design,Discovery,User needs analysis,0.04,0.05,0.04,0.02
Engineering Industry (excluding Civils),Spatial Design,Discovery,User insights,0.05,0.06,0.04,0.01
Engineering Industry (excluding Civils),Spatial Design,Discovery,Customer journey mapping,0.02,0.03,0.02,0.01
Engineering Industry (excluding Civils),Spatial Design,Discovery,In category research,0.02,0.03,0.02,0.01
Engineering Industry (excluding Civils),Spatial Design,Discovery,Out-of-category research,0.04,0.05,0.03,0.02
Engineering Industry (excluding Civils),Spatial Design,Discovery,Inspiration,0.04,0.05,0.03,0.01
Engineering Industry (excluding Civils),Spatial Design,Discovery,Materiality study,0.03,0.03,0.02,0.01
Engineering Industry (excluding Civils),Spatial Design,Discovery,Site surveyanalysis,0.03,0.04,0.03,0.01
Engineering Industry (excluding Civils),Spatial Design,Discovery,Environmental study,0.02,0.03,0.02,0.01
Engineering Industry (excluding Civils),Spatial Design,Discovery,Space planning ,0.03,0.03,0.02,0.00
Engineering Industry (excluding Civils),Spatial Design,Discovery,Modelling,0.04,0.04,0.03,0.01
Engineering Industry (excluding Civils),Spatial Design,Discovery,Visual audit,0.05,0.06,0.04,0.01
Engineering Industry (excluding Civils),Spatial Design,Discovery,Design brief,0.03,0.04,0.03,0.02
Engineering Industry (excluding Civils),Spatial Design,Discovery,Project Programme,0.02,0.03,0.02,0.01
Engineering Industry (excluding Civils),Spatial Design,Define,Brand strategy,0.07,0.09,0.06,0.02
Engineering Industry (excluding Civils),Spatial Design,Define,Customer strategy,0.04,0.06,0.04,0.02
Engineering Industry (excluding Civils),Spatial Design,Define,Digital strategy,0.05,0.07,0.05,0.02
Engineering Industry (excluding Civils),Spatial Design,Define,Engagement strategy,0.04,0.05,0.04,0.02
Engineering Industry (excluding Civils),Spatial Design,Define,Design strategy,0.05,0.06,0.04,0.01
Engineering Industry (excluding Civils),Spatial Design,Define,Journey mapping,0.07,0.09,0.06,0.01
Engineering Industry (excluding Civils),Spatial Design,Define,Architectural design,0.04,0.05,0.03,0.02
Engineering Industry (excluding Civils),Spatial Design,Define,Retail strategy,0.06,0.07,0.05,0.02
Engineering Industry (excluding Civils),Spatial Design,Define,Retail design ,0.06,0.08,0.05,0.02
Engineering Industry (excluding Civils),Spatial Design,Define,Branded environments,0.08,0.10,0.06,0.02
Engineering Industry (excluding Civils),Spatial Design,Define,Ideation,0.06,0.08,0.05,0.02
Engineering Industry (excluding Civils),Spatial Design,Define,Place branding,0.05,0.07,0.04,0.02
Engineering Industry (excluding Civils),Spatial Design,Define,Corporate fit-out,0.03,0.05,0.03,0.02
Engineering Industry (excluding Civils),Spatial Design,Define,Concept store design,0.08,0.10,0.06,0.01
Engineering Industry (excluding Civils),Spatial Design,Define,Installations,0.06,0.07,0.05,0.03
Engineering Industry (excluding Civils),Spatial Design,Define,Museum design,0.05,0.06,0.04,0.02
Engineering Industry (excluding Civils),Spatial Design,Define,Experience design,0.04,0.05,0.03,0.01
Engineering Industry (excluding Civils),Spatial Design,Define,Pop up retail,0.07,0.09,0.06,0.01
Engineering Industry (excluding Civils),Spatial Design,Define,Wayfinding ,0.05,0.07,0.04,0.02
Engineering Industry (excluding Civils),Spatial Design,Define,Signage programs,0.05,0.06,0.04,0.02
Engineering Industry (excluding Civils),Spatial Design,Define,Network transformation,0.07,0.09,0.06,0.02
Engineering Industry (excluding Civils),Spatial Design,Develop,Strategy development,1.18,1.43,0.99,0.29
Engineering Industry (excluding Civils),Spatial Design,Develop,Design development,1.34,1.57,1.09,0.64
Engineering Industry (excluding Civils),Spatial Design,Develop,Program design,1.19,1.55,1.01,0.25
Engineering Industry (excluding Civils),Spatial Design,Develop,Concept design,1.34,1.68,1.09,0.54
Engineering Industry (excluding Civils),Spatial Design,Develop,Design drawings,1.07,1.42,0.91,0.52
Engineering Industry (excluding Civils),Spatial Design,Develop,Detailed drawings,0.71,0.95,0.62,0.33
Engineering Industry (excluding Civils),Spatial Design,Develop,CAD drawings,1.15,1.41,0.96,0.39
Engineering Industry (excluding Civils),Spatial Design,Develop,Specifications,1.44,1.72,1.19,0.35
Engineering Industry (excluding Civils),Spatial Design,Develop,Tender preparation,0.66,0.77,0.54,0.30
Engineering Industry (excluding Civils),Spatial Design,Develop,Tender process management,1.11,1.44,0.93,0.44
Engineering Industry (excluding Civils),Spatial Design,Develop,Interior design,0.66,0.81,0.54,0.20
Engineering Industry (excluding Civils),Spatial Design,Develop,Installation design,1.28,1.57,1.02,0.41
Engineering Industry (excluding Civils),Spatial Design,Develop,Environmental graphics,1.30,1.69,1.12,0.62
Engineering Industry (excluding Civils),Spatial Design,Develop,Concept presentations,0.64,0.79,0.53,0.23
Engineering Industry (excluding Civils),Spatial Design,Develop,Site selection and test fits,0.63,0.82,0.53,0.24
Engineering Industry (excluding Civils),Spatial Design,Develop,Block planning,1.14,1.47,1.00,0.47
Engineering Industry (excluding Civils),Spatial Design,Develop,Furniture & finishes  study,1.19,1.54,1.04,0.46
Engineering Industry (excluding Civils),Spatial Design,Develop,Low & hi -fi Prototyping,0.60,0.80,0.52,0.23
Engineering Industry (excluding Civils),Spatial Design,Develop,Budget costing,1.38,1.66,1.16,0.37
Engineering Industry (excluding Civils),Spatial Design,Develop,FF&E schedules,1.36,1.64,1.12,0.65
Engineering Industry (excluding Civils),Spatial Design,Develop,Consultant liaison,1.13,1.39,0.97,0.42
Engineering Industry (excluding Civils),Spatial Design,Develop,Local authority liaison,0.95,1.27,0.82,0.40
Engineering Industry (excluding Civils),Spatial Design,Deliver,Documentation,0.58,0.73,0.47,0.27
Engineering Industry (excluding Civils),Spatial Design,Deliver,Print production,0.35,0.42,0.29,0.14
Engineering Industry (excluding Civils),Spatial Design,Deliver,Digital touchpoints,0.33,0.42,0.29,0.12
Engineering Industry (excluding Civils),Spatial Design,Deliver,Production management,0.49,0.64,0.43,0.22
Engineering Industry (excluding Civils),Spatial Design,Deliver,Implementation,0.33,0.42,0.28,0.13
Engineering Industry (excluding Civils),Spatial Design,Deliver,Fit-out management,0.47,0.59,0.40,0.17
Engineering Industry (excluding Civils),Spatial Design,Deliver,Site supervision,0.49,0.61,0.40,0.21
Engineering Industry (excluding Civils),Spatial Design,Deliver,Supplier liaison,0.42,0.54,0.36,0.21
Engineering Industry (excluding Civils),Spatial Design,Deliver,Tender,0.45,0.52,0.36,0.07
Engineering Industry (excluding Civils),Spatial Design,Deliver,Resource consent,0.44,0.54,0.36,0.17
Engineering Industry (excluding Civils),Spatial Design,Deliver,Building consent,0.39,0.49,0.33,0.17
Engineering Industry (excluding Civils),Spatial Design,Deliver,Contract observation,0.26,0.32,0.21,0.12
Engineering Industry (excluding Civils),Spatial Design,Deliver,FF&E procurement,0.42,0.52,0.35,0.15
Engineering Industry (excluding Civils),Spatial Design,Deliver,Local authority liaison,0.30,0.37,0.25,0.06
Engineering Industry (excluding Civils),Spatial Design,Deliver,Consultant liaison,0.51,0.63,0.42,0.11
Engineering Industry (excluding Civils),Spatial Design,Deliver,Project remedials,0.39,0.48,0.33,0.13
Engineering Industry (excluding Civils),Spatial Design,Deliver,Site handover,0.57,0.67,0.47,0.26
Engineering Industry (excluding Civils),Spatial Design,Deliver,Final concept presentation,0.30,0.40,0.26,0.09
Engineering Industry (excluding Civils),Spatial Design,Deliver,3D visuals and renders,0.43,0.52,0.34,0.14
Engineering Industry (excluding Civils),Product Design,Discovery,Market research,0.16,0.20,0.13,0.05
Engineering Industry (excluding Civils),Product Design,Discovery,Market analysis,0.20,0.24,0.16,0.05
Engineering Industry (excluding Civils),Product Design,Discovery,Customer Insights,0.20,0.25,0.16,0.06
Engineering Industry (excluding Civils),Product Design,Discovery,Competitor analysis,0.13,0.15,0.11,0.02
Engineering Industry (excluding Civils),Product Design,Discovery,Audit ,0.14,0.17,0.11,0.04
Engineering Industry (excluding Civils),Product Design,Discovery,Market Research,0.11,0.14,0.09,0.05
Engineering Industry (excluding Civils),Product Design,Discovery,Ergonomic study,0.19,0.22,0.16,0.07
Engineering Industry (excluding Civils),Product Design,Discovery,Material audit,0.15,0.19,0.13,0.03
Engineering Industry (excluding Civils),Product Design,Discovery,User needs analysis,0.15,0.18,0.12,0.06
Engineering Industry (excluding Civils),Product Design,Discovery,Market Research,0.11,0.15,0.09,0.04
Engineering Industry (excluding Civils),Product Design,Discovery,Ergonomic study,0.09,0.11,0.07,0.04
Engineering Industry (excluding Civils),Product Design,Discovery,Material audit,0.13,0.16,0.10,0.05
Engineering Industry (excluding Civils),Product Design,Discovery,User needs analysis,0.15,0.20,0.13,0.07
Engineering Industry (excluding Civils),Product Design,Define,Brand strategy,0.16,0.21,0.14,0.03
Engineering Industry (excluding Civils),Product Design,Define,Customer strategy,0.12,0.14,0.10,0.03
Engineering Industry (excluding Civils),Product Design,Define,Digital strategy,0.13,0.16,0.11,0.03
Engineering Industry (excluding Civils),Product Design,Define,Engagement strategy,0.23,0.30,0.19,0.08
Engineering Industry (excluding Civils),Product Design,Define,Design thinking,0.19,0.23,0.16,0.03
Engineering Industry (excluding Civils),Product Design,Define,Product strategy,0.20,0.25,0.16,0.09
Engineering Industry (excluding Civils),Product Design,Define,Market modelling,0.14,0.18,0.12,0.04
Engineering Industry (excluding Civils),Product Design,Define,Production design,0.12,0.14,0.10,0.05
Engineering Industry (excluding Civils),Product Design,Define,Pre-production costing,0.15,0.19,0.12,0.06
Engineering Industry (excluding Civils),Product Design,Define,Distribution modelling,0.18,0.21,0.15,0.06
Engineering Industry (excluding Civils),Product Design,Develop,Strategy development,3.79,4.37,3.07,0.68
Engineering Industry (excluding Civils),Product Design,Develop,Design development,3.31,3.96,2.78,0.93
Engineering Industry (excluding Civils),Product Design,Develop,Program design,2.34,3.07,2.01,0.72
Engineering Industry (excluding Civils),Product Design,Develop,Ideation,2.37,2.93,1.93,1.09
Engineering Industry (excluding Civils),Product Design,Develop,Visual concept development,4.16,5.21,3.39,1.15
Engineering Industry (excluding Civils),Product Design,Develop,Aesthetic development,2.56,3.21,2.21,0.67
