Level 2,GDP
Engineering Industry (excluding Civils),1.10
Engineering Industry (excluding Civils),1.72
Engineering Industry (excluding Civils),1.92
Engineering Industry (excluding Civils),1.94
Engineering Industry (excluding Civils),1.39
Engineering Industry (excluding Civils),1.04
Engineering Industry (excluding Civils),1.43
Engineering Industry (excluding Civils),1.58
Engineering Industry (excluding Civils),1.05
Engineering Industry (excluding Civils),1.97
Engineering Industry (excluding Civils),1.46
Engineering Industry (excluding Civils),0.03
Engineering Industry (excluding Civils),0.07
Engineering Industry (excluding Civils),0.06
Engineering Industry (excluding Civils),0.03
Engineering Industry (excluding Civils),0.04
Engineering Industry (excluding Civils),0.03
Engineering Industry (excluding Civils),0.05
Engineering Industry (excluding Civils),0.06
Engineering Industry (excluding Civils),0.03
Engineering Industry (excluding Civils),0.03
Engineering Industry (excluding Civils),0.05
Engineering Industry (excluding Civils),0.05
Engineering Industry (excluding Civils),0.03
Engineering Industry (excluding Civils),0.04
Engineering Industry (excluding Civils),0.03
Engineering Industry (excluding Civils),0.03
Engineering Industry (excluding Civils),0.04
Engineering Industry (excluding Civils),0.06
Engineering Industry (excluding Civils),0.04
Engineering Industry (excluding Civils),0.03
Engineering Industry (excluding Civils),0.09
Engineering Industry (excluding Civils),0.06
Engineering Industry (excluding Civils),0.07
Engineering Industry (excluding Civils),0.05
Engineering Industry (excluding Civils),0.06
Engineering Industry (excluding Civils),0.09
Engineering Industry (excluding Civils),0.05
Engineering Industry (excluding Civils),0.07
Engineering Industry (excluding Civils),0.08
Engineering Industry (excluding Civils),0.10
Engineering Industry (excluding Civils),0.08
Engineering Industry (excluding Civils),0.07
Engineering Industry (excluding Civils),0.05
Engineering Industry (excluding Civils),0.10
Engineering Industry (excluding Civils),0.07
Engineering Industry (excluding Civils),0.06
Engineering Industry (excluding Civils),0.05
Engineering Industry (excluding Civils),0.09
Engineering Industry (excluding Civils),0.07
Engineering Industry (excluding Civils),0.06
Engineering Industry (excluding Civils),0.09
Engineering Industry (excluding Civils),1.43
Engineering Industry (excluding Civils),1.57
Engineering Industry (excluding Civils),1.55
Engineering Industry (excluding Civils),1.68
Engineering Industry (excluding Civils),1.42
Engineering Industry (excluding Civils),0.95
Engineering Industry (excluding Civils),1.41
Engineering Industry (excluding Civils),1.72
Engineering Industry (excluding Civils),0.77
Engineering Industry (excluding Civils),1.44
Engineering Industry (excluding Civils),0.81
Engineering Industry (excluding Civils),1.57
Engineering Industry (excluding Civils),1.69
Engineering Industry (excluding Civils),0.79
Engineering Industry (excluding Civils),0.82
Engineering Industry (excluding Civils),1.47
Engineering Industry (excluding Civils),1.54
Engineering Industry (excluding Civils),0.80
Engineering Industry (excluding Civils),1.66
Engineering Industry (excluding Civils),1.64
Engineering Industry (excluding Civils),1.39
Engineering Industry (excluding Civils),1.27
Engineering Industry (excluding Civils),0.73
Engineering Industry (excluding Civils),0.42
Engineering Industry (excluding Civils),0.42
Engineering Industry (excluding Civils),0.64
Engineering Industry (excluding Civils),0.42
Engineering Industry (excluding Civils),0.59
Engineering Industry (excluding Civils),0.61
Engineering Industry (excluding Civils),0.54
Engineering Industry (excluding Civils),0.52
Engineering Industry (excluding Civils),0.54
Engineering Industry (excluding Civils),0.49
Engineering Industry (excluding Civils),0.32
Engineering Industry (excluding Civils),0.52
Engineering Industry (excluding Civils),0.37
Engineering Industry (excluding Civils),0.63
Engineering Industry (excluding Civils),0.48
Engineering Industry (excluding Civils),0.67
Engineering Industry (excluding Civils),0.40
Engineering Industry (excluding Civils),0.52
Engineering Industry (excluding Civils),0.20
Engineering Industry (excluding Civils),0.24
Engineering Industry (excluding Civils),0.25
Engineering Industry (excluding Civils),0.15
Engineering Industry (excluding Civils),0.17
Engineering Industry (excluding Civils),0.14
Engineering Industry (excluding Civils),0.22
Engineering Industry (excluding Civils),0.19
Engineering Industry (excluding Civils),0.18
Engineering Industry (excluding Civils),0.15
Engineering Industry (excluding Civils),0.11
Engineering Industry (excluding Civils),0.16
Engineering Industry (excluding Civils),0.20
Engineering Industry (excluding Civils),0.21
Engineering Industry (excluding Civils),0.14
Engineering Industry (excluding Civils),0.16
Engineering Industry (excluding Civils),0.30
Engineering Industry (excluding Civils),0.23
Engineering Industry (excluding Civils),0.25
Engineering Industry (excluding Civils),0.18
Engineering Industry (excluding Civils),0.14
Engineering Industry (excluding Civils),0.19
Engineering Industry (excluding Civils),0.21
Engineering Industry (excluding Civils),4.37
Engineering Industry (excluding Civils),3.96
Engineering Industry (excluding Civils),3.07
Engineering Industry (excluding Civils),2.93
Engineering Industry (excluding Civils),5.21
Engineering Industry (excluding Civils),3.21
Engineering Industry (excluding Civils),5.06
Engineering Industry (excluding Civils),4.81
Engineering Industry (excluding Civils),4.14
Engineering Industry (excluding Civils),4.28
Engineering Industry (excluding Civils),3.93
Engineering Industry (excluding Civils),3.72
Engineering Industry (excluding Civils),3.94
Engineering Industry (excluding Civils),2.45
Engineering Industry (excluding Civils),2.82
Engineering Industry (excluding Civils),5.06
Engineering Industry (excluding Civils),3.82
Engineering Industry (excluding Civils),4.87
Engineering Industry (excluding Civils),3.71
Engineering Industry (excluding Civils),2.28
Engineering Industry (excluding Civils),2.61
Engineering Industry (excluding Civils),1.42
Engineering Industry (excluding Civils),1.58
Engineering Industry (excluding Civils),0.81
Engineering Industry (excluding Civils),1.46
Engineering Industry (excluding Civils),0.81
Engineering Industry (excluding Civils),0.91
Engineering Industry (excluding Civils),1.01
Engineering Industry (excluding Civils),0.79
Engineering Industry (excluding Civils),0.90
Engineering Industry (excluding Civils),0.98
Engineering Industry (excluding Civils),1.18
Engineering Industry (excluding Civils),0.05
Engineering Industry (excluding Civils),0.07
Engineering Industry (excluding Civils),0.05
Engineering Industry (excluding Civils),0.06
Engineering Industry (excluding Civils),0.08
Engineering Industry (excluding Civils),0.05
Engineering Industry (excluding Civils),0.07
Engineering Industry (excluding Civils),0.05
Engineering Industry (excluding Civils),0.06
Engineering Industry (excluding Civils),0.04
Engineering Industry (excluding Civils),0.08
Engineering Industry (excluding Civils),0.04
Engineering Industry (excluding Civils),0.06
Engineering Industry (excluding Civils),0.07
Engineering Industry (excluding Civils),0.06
Engineering Industry (excluding Civils),0.05
Engineering Industry (excluding Civils),0.06
Engineering Industry (excluding Civils),0.05
Engineering Industry (excluding Civils),0.04
Engineering Industry (excluding Civils),0.04
Engineering Industry (excluding Civils),0.06
Engineering Industry (excluding Civils),0.06
