Level 2,GDP
Financial,6.53
Financial,3.89
Financial,6.47
Financial,4.92
Financial,5.11
Financial,4.58
Financial,2.80
Financial,0.10
Financial,0.11
Financial,0.13
Financial,0.12
Financial,0.12
Financial,0.10
Financial,0.14
Financial,0.13
Financial,0.08
Financial,0.12
Financial,0.15
Financial,0.13
Financial,0.08
Financial,0.13
Financial,0.13
Financial,0.14
Financial,0.08
Financial,0.10
Financial,0.13
Financial,0.07
Financial,0.20
Financial,0.15
Financial,0.20
Financial,0.20
Financial,0.19
Financial,0.16
Financial,0.19
Financial,0.14
Financial,0.17
Financial,0.11
Financial,0.24
Financial,0.11
Financial,0.22
Financial,0.10
Financial,0.20
Financial,0.14
Financial,0.11
Financial,0.12
Financial,0.15
Financial,0.21
Financial,0.18
Financial,5.16
Financial,4.78
Financial,2.42
Financial,5.02
Financial,4.82
Financial,5.08
Financial,2.45
Financial,4.18
Financial,4.30
Financial,4.65
Financial,3.10
Financial,3.82
Financial,2.36
Financial,3.10
Financial,3.43
Financial,3.34
Financial,4.61
Financial,4.02
Financial,4.61
Financial,4.94
Financial,2.40
Financial,4.09
Financial,1.40
Financial,1.75
Financial,1.66
Financial,1.79
Financial,1.32
Financial,1.73
Financial,1.22
Financial,1.85
Financial,2.09
Financial,2.10
Financial,1.67
Financial,1.69
Financial,1.81
Financial,1.06
Financial,2.00
Financial,0.88
Financial,1.05
Financial,1.57
Financial,1.78
Financial,0.51
Financial,0.40
Financial,0.32
Financial,0.58
Financial,0.65
Financial,0.56
Financial,0.48
Financial,0.47
Financial,0.51
Financial,0.66
Financial,0.28
Financial,0.56
Financial,0.51
Financial,0.53
Financial,0.30
Financial,0.54
Financial,0.61
Financial,0.58
Financial,0.33
Financial,0.60
Financial,0.28
Financial,0.53
Financial,0.30
Financial,11.33
Financial,11.75
Financial,6.79
Financial,8.62
Financial,12.05
Financial,9.56
Financial,6.97
Financial,11.45
Financial,7.26
Financial,10.19
Financial,8.45
Financial,9.44
Financial,7.83
Financial,11.89
Financial,9.84
Financial,8.51
Financial,10.66
Financial,12.31
Financial,10.34
Financial,7.15
Financial,7.34
Financial,4.25
Financial,3.60
Financial,3.61
Financial,3.30
Financial,3.30
Financial,4.77
Financial,4.79
Financial,3.02
Financial,4.76
Financial,2.97
Financial,3.89
Financial,0.24
Financial,0.12
Financial,0.14
Financial,0.20
Financial,0.17
Financial,0.15
Financial,0.20
Financial,0.17
Financial,0.17
Financial,0.23
Financial,0.20
Financial,0.18
Financial,0.16
Financial,0.17
Financial,0.33
Financial,0.19
Financial,0.16
Financial,0.19
Financial,0.37
Financial,0.27
Financial,0.21
Financial,0.24
Financial,0.34
Financial,3.27
Financial,3.44
Financial,2.61
Financial,2.16
Financial,3.80
Financial,3.93
Financial,2.62
Financial,3.81
Financial,3.87
Financial,3.49
Financial,2.81
Financial,3.56
Financial,1.92
Financial,2.80
Financial,3.83
Financial,3.01
Financial,1.39
Financial,1.86
Financial,1.07
Financial,0.89
Financial,1.77
Financial,1.83
Financial,1.39
Financial,0.80
Financial,1.86
Financial,1.02
Financial,1.79
Financial,1.80
Financial,0.21
Financial,0.16
Financial,0.19
Financial,0.31
Financial,0.16
Financial,0.28
Financial,0.23
Financial,0.33
Financial,0.20
Financial,0.30
Financial,8.08
Financial,9.58
Financial,6.76
Financial,5.31
Financial,2.10
Financial,2.43
Financial,2.52
Financial,1.31
Financial,1.74
Financial,0.00
Financial,0.00
Financial,0.00
Financial,0.00
Financial,0.00
Financial,0.20
Financial,0.12
Financial,0.16
Financial,0.13
Financial,0.11
Financial,0.25
Financial,0.18
Financial,0.20
Financial,0.21
Financial,0.24
Financial,3.62
Financial,3.74
Financial,6.82
Financial,1.88
Financial,2.60
Financial,2.72
Financial,1.46
Financial,1.80
Financial,0.35
Financial,0.37
Financial,0.18
Financial,0.37
Financial,0.37
Financial,0.44
Financial,0.53
Financial,0.26
Financial,0.30
Financial,0.42
Financial,8.35
Financial,10.53
Financial,8.72
Financial,2.65
Financial,3.97
Financial,2.71
Financial,2.21
Financial,1.80
Digital & Creative Industry,0.08
Digital & Creative Industry,0.07
Digital & Creative Industry,0.09
Digital & Creative Industry,0.06
Digital & Creative Industry,0.08
Digital & Creative Industry,0.04
Digital & Creative Industry,0.05
Digital & Creative Industry,0.05
Digital & Creative Industry,0.06
Digital & Creative Industry,0.07
Digital & Creative Industry,0.04
Digital & Creative Industry,0.06
Digital & Creative Industry,0.08
Digital & Creative Industry,0.07
Digital & Creative Industry,0.08
Digital & Creative Industry,0.09
Digital & Creative Industry,0.11
Digital & Creative Industry,0.13
Digital & Creative Industry,0.06
Digital & Creative Industry,0.12
Digital & Creative Industry,0.12
Digital & Creative Industry,0.12
Digital & Creative Industry,0.11
Digital & Creative Industry,0.10
Digital & Creative Industry,0.08
Digital & Creative Industry,0.14
Digital & Creative Industry,0.14
Digital & Creative Industry,0.08
Digital & Creative Industry,0.07
Digital & Creative Industry,0.12
Digital & Creative Industry,0.10
Digital & Creative Industry,0.09
Digital & Creative Industry,1.80
Digital & Creative Industry,2.62
Digital & Creative Industry,3.05
Digital & Creative Industry,2.38
Digital & Creative Industry,1.61
Digital & Creative Industry,2.96
Digital & Creative Industry,3.25
Digital & Creative Industry,1.80
Digital & Creative Industry,2.84
Digital & Creative Industry,1.58
Digital & Creative Industry,2.83
Digital & Creative Industry,1.70
Digital & Creative Industry,2.83
Digital & Creative Industry,2.13
Digital & Creative Industry,3.18
Digital & Creative Industry,0.84
Digital & Creative Industry,0.61
Digital & Creative Industry,0.89
Digital & Creative Industry,0.67
Digital & Creative Industry,0.87
Digital & Creative Industry,0.74
Digital & Creative Industry,1.04
Digital & Creative Industry,1.02
Digital & Creative Industry,0.74
Digital & Creative Industry,0.82
Digital & Creative Industry,0.79
Digital & Creative Industry,0.86
Digital & Creative Industry,0.58
Digital & Creative Industry,0.87
Digital & Creative Industry,0.07
Digital & Creative Industry,0.07
Digital & Creative Industry,0.10
Digital & Creative Industry,0.05
Digital & Creative Industry,0.07
Digital & Creative Industry,0.11
Digital & Creative Industry,0.06
Digital & Creative Industry,0.08
Digital & Creative Industry,0.07
Digital & Creative Industry,0.08
Digital & Creative Industry,0.07
Digital & Creative Industry,0.08
Digital & Creative Industry,0.12
Digital & Creative Industry,0.10
Digital & Creative Industry,0.08
Digital & Creative Industry,0.08
Digital & Creative Industry,0.08
Digital & Creative Industry,0.09
Digital & Creative Industry,0.07
Digital & Creative Industry,0.11
Digital & Creative Industry,0.07
Digital & Creative Industry,0.08
Digital & Creative Industry,0.06
Digital & Creative Industry,0.08
Digital & Creative Industry,3.30
Digital & Creative Industry,2.63
Digital & Creative Industry,1.72
Digital & Creative Industry,3.29
Digital & Creative Industry,3.01
Digital & Creative Industry,2.43
Digital & Creative Industry,1.41
Digital & Creative Industry,2.64
Digital & Creative Industry,2.69
Digital & Creative Industry,2.28
Digital & Creative Industry,1.83
Digital & Creative Industry,2.02
Digital & Creative Industry,2.14
Digital & Creative Industry,2.86
Digital & Creative Industry,2.17
Digital & Creative Industry,2.63
Digital & Creative Industry,2.75
Digital & Creative Industry,3.17
Digital & Creative Industry,1.45
Digital & Creative Industry,0.36
Digital & Creative Industry,0.78
Digital & Creative Industry,0.47
Digital & Creative Industry,0.52
Digital & Creative Industry,0.43
Digital & Creative Industry,0.73
Digital & Creative Industry,0.57
Digital & Creative Industry,0.58
Digital & Creative Industry,0.78
Digital & Creative Industry,0.72
Digital & Creative Industry,0.63
Digital & Creative Industry,0.67
Digital & Creative Industry,0.52
Digital & Creative Industry,0.71
Digital & Creative Industry,0.56
Digital & Creative Industry,0.39
Digital & Creative Industry,0.13
Digital & Creative Industry,0.17
Digital & Creative Industry,0.10
Digital & Creative Industry,0.16
Digital & Creative Industry,0.08
Digital & Creative Industry,0.12
Digital & Creative Industry,0.11
Digital & Creative Industry,0.10
Digital & Creative Industry,0.09
Digital & Creative Industry,0.08
Digital & Creative Industry,0.25
Digital & Creative Industry,0.21
Digital & Creative Industry,0.10
Digital & Creative Industry,0.10
Digital & Creative Industry,0.15
Digital & Creative Industry,0.14
Digital & Creative Industry,0.21
Digital & Creative Industry,0.17
Digital & Creative Industry,0.16
Digital & Creative Industry,0.16
Digital & Creative Industry,0.21
Digital & Creative Industry,0.12
Digital & Creative Industry,0.13
Digital & Creative Industry,5.08
Digital & Creative Industry,2.83
Digital & Creative Industry,3.32
Digital & Creative Industry,4.76
Digital & Creative Industry,3.97
Digital & Creative Industry,5.06
Digital & Creative Industry,3.02
Digital & Creative Industry,4.57
Digital & Creative Industry,5.79
Digital & Creative Industry,5.19
Digital & Creative Industry,4.71
Digital & Creative Industry,3.71
Digital & Creative Industry,3.58
Digital & Creative Industry,1.14
Digital & Creative Industry,1.69
Digital & Creative Industry,1.62
Digital & Creative Industry,0.92
Digital & Creative Industry,1.83
Digital & Creative Industry,1.38
Digital & Creative Industry,1.14
Digital & Creative Industry,0.85
Digital & Creative Industry,1.47
Digital & Creative Industry,1.85
Digital & Creative Industry,0.83
Digital & Creative Industry,1.53
Digital & Creative Industry,1.53
Digital & Creative Industry,0.94
Digital & Creative Industry,0.85
Digital & Creative Industry,1.34
Digital & Creative Industry,1.23
Digital & Creative Industry,1.67
Digital & Creative Industry,0.97
Digital & Creative Industry,1.80
Digital & Creative Industry,1.03
Digital & Creative Industry,1.37
Digital & Creative Industry,0.04
Digital & Creative Industry,0.08
Digital & Creative Industry,0.04
Digital & Creative Industry,0.07
Digital & Creative Industry,0.05
Digital & Creative Industry,0.06
Digital & Creative Industry,0.03
Digital & Creative Industry,0.04
Digital & Creative Industry,0.03
Digital & Creative Industry,0.04
Digital & Creative Industry,0.05
Digital & Creative Industry,0.07
Digital & Creative Industry,0.05
Digital & Creative Industry,0.04
Digital & Creative Industry,0.04
Digital & Creative Industry,0.08
Digital & Creative Industry,0.07
Digital & Creative Industry,0.06
Digital & Creative Industry,0.07
Digital & Creative Industry,0.04
Digital & Creative Industry,0.07
Digital & Creative Industry,0.09
Digital & Creative Industry,0.06
Digital & Creative Industry,0.07
Digital & Creative Industry,0.06
Digital & Creative Industry,0.06
Digital & Creative Industry,0.07
Digital & Creative Industry,0.10
Digital & Creative Industry,0.10
Digital & Creative Industry,0.09
Digital & Creative Industry,0.11
Digital & Creative Industry,0.10
Digital & Creative Industry,0.11
Digital & Creative Industry,0.09
Digital & Creative Industry,0.10
Digital & Creative Industry,0.11
Digital & Creative Industry,0.07
Digital & Creative Industry,0.06
Digital & Creative Industry,0.08
Digital & Creative Industry,0.10
Digital & Creative Industry,0.06
Digital & Creative Industry,0.60
Digital & Creative Industry,0.48
Digital & Creative Industry,0.87
Digital & Creative Industry,0.75
Digital & Creative Industry,0.66
Digital & Creative Industry,0.59
Digital & Creative Industry,0.63
Digital & Creative Industry,0.79
Digital & Creative Industry,0.92
Digital & Creative Industry,0.82
Digital & Creative Industry,0.83
Digital & Creative Industry,0.96
Digital & Creative Industry,0.54
Digital & Creative Industry,0.85
Digital & Creative Industry,0.81
Digital & Creative Industry,0.85
Digital & Creative Industry,0.94
Digital & Creative Industry,0.73
Digital & Creative Industry,0.78
Digital & Creative Industry,0.68
Digital & Creative Industry,0.91
Digital & Creative Industry,0.91
Digital & Creative Industry,0.43
Digital & Creative Industry,0.56
Digital & Creative Industry,0.42
Digital & Creative Industry,0.67
Digital & Creative Industry,0.68
Digital & Creative Industry,0.75
Digital & Creative Industry,0.49
Digital & Creative Industry,0.39
Digital & Creative Industry,0.72
Digital & Creative Industry,0.45
Digital & Creative Industry,0.31
Digital & Creative Industry,0.52
Digital & Creative Industry,0.32
Digital & Creative Industry,0.58
Digital & Creative Industry,0.74
Digital & Creative Industry,0.33
Digital & Creative Industry,0.68
Digital & Creative Industry,0.60
Digital & Creative Industry,0.60
Digital & Creative Industry,0.16
Digital & Creative Industry,0.10
Digital & Creative Industry,0.14
Digital & Creative Industry,0.13
Digital & Creative Industry,0.13
Digital & Creative Industry,0.09
Digital & Creative Industry,0.15
Digital & Creative Industry,0.09
Digital & Creative Industry,0.18
Digital & Creative Industry,0.10
Digital & Creative Industry,0.12
Digital & Creative Industry,0.13
Digital & Creative Industry,0.10
Digital & Creative Industry,0.24
Digital & Creative Industry,0.16
Digital & Creative Industry,0.31
Digital & Creative Industry,0.16
Digital & Creative Industry,0.21
Digital & Creative Industry,0.15
Digital & Creative Industry,0.25
Digital & Creative Industry,0.31
Digital & Creative Industry,0.32
Digital & Creative Industry,0.27
Digital & Creative Industry,4.00
Digital & Creative Industry,3.32
Digital & Creative Industry,2.21
Digital & Creative Industry,3.23
Digital & Creative Industry,4.38
Digital & Creative Industry,5.04
Digital & Creative Industry,3.09
Digital & Creative Industry,2.99
Digital & Creative Industry,4.27
Digital & Creative Industry,2.76
Digital & Creative Industry,5.15
Digital & Creative Industry,2.49
Digital & Creative Industry,3.37
Digital & Creative Industry,2.98
Digital & Creative Industry,2.66
Digital & Creative Industry,3.02
Digital & Creative Industry,2.79
Digital & Creative Industry,4.43
Digital & Creative Industry,4.09
Digital & Creative Industry,4.59
Digital & Creative Industry,4.72
Digital & Creative Industry,1.02
Digital & Creative Industry,1.82
Digital & Creative Industry,1.46
Digital & Creative Industry,1.39
Digital & Creative Industry,1.69
Digital & Creative Industry,0.85
Digital & Creative Industry,1.20
Digital & Creative Industry,1.02
Digital & Creative Industry,1.03
Digital & Creative Industry,1.31
Digital & Creative Industry,1.40
Digital & Creative Industry,0.07
Digital & Creative Industry,0.06
Digital & Creative Industry,0.09
Digital & Creative Industry,0.05
Digital & Creative Industry,0.07
Digital & Creative Industry,0.06
Digital & Creative Industry,0.08
Digital & Creative Industry,0.08
Digital & Creative Industry,0.05
Digital & Creative Industry,0.08
Digital & Creative Industry,0.09
Digital & Creative Industry,0.08
Digital & Creative Industry,0.06
Digital & Creative Industry,0.08
Digital & Creative Industry,0.04
Digital & Creative Industry,0.06
Digital & Creative Industry,0.06
Digital & Creative Industry,0.06
Digital & Creative Industry,0.06
Digital & Creative Industry,0.06
Digital & Creative Industry,0.04
Digital & Creative Industry,0.06
Digital & Creative Industry,0.05
Digital & Creative Industry,1.71
Digital & Creative Industry,1.07
Digital & Creative Industry,2.02
Digital & Creative Industry,1.83
Digital & Creative Industry,2.12
Digital & Creative Industry,1.44
Digital & Creative Industry,1.65
Digital & Creative Industry,1.56
Digital & Creative Industry,1.61
Digital & Creative Industry,2.18
Digital & Creative Industry,1.47
Digital & Creative Industry,1.73
Digital & Creative Industry,1.92
Digital & Creative Industry,1.69
Digital & Creative Industry,2.22
Digital & Creative Industry,2.12
Digital & Creative Industry,0.55
Digital & Creative Industry,0.68
Digital & Creative Industry,0.47
Digital & Creative Industry,0.58
Digital & Creative Industry,0.63
Digital & Creative Industry,0.31
Digital & Creative Industry,0.43
Digital & Creative Industry,0.59
Digital & Creative Industry,0.64
Digital & Creative Industry,0.31
Digital & Creative Industry,0.45
Digital & Creative Industry,0.50
Digital & Creative Industry,0.11
Digital & Creative Industry,0.12
Digital & Creative Industry,0.16
Digital & Creative Industry,0.14
Digital & Creative Industry,0.09
Digital & Creative Industry,0.15
Digital & Creative Industry,0.10
Digital & Creative Industry,0.15
Digital & Creative Industry,0.15
Digital & Creative Industry,0.10
Digital & Creative Industry,0.86
Digital & Creative Industry,0.75
Digital & Creative Industry,1.11
Digital & Creative Industry,0.76
Digital & Creative Industry,0.56
Digital & Creative Industry,0.99
Digital & Creative Industry,1.08
Digital & Creative Industry,0.80
Digital & Creative Industry,1.01
Digital & Creative Industry,0.00
Digital & Creative Industry,0.00
Digital & Creative Industry,0.00
Digital & Creative Industry,0.00
Digital & Creative Industry,0.00
Digital & Creative Industry,0.11
Digital & Creative Industry,0.12
Digital & Creative Industry,0.08
Digital & Creative Industry,0.06
Digital & Creative Industry,0.07
Digital & Creative Industry,0.04
Digital & Creative Industry,0.11
Digital & Creative Industry,0.10
Digital & Creative Industry,0.08
Digital & Creative Industry,0.09
Digital & Creative Industry,2.44
Digital & Creative Industry,1.28
Digital & Creative Industry,1.84
Digital & Creative Industry,0.74
Digital & Creative Industry,0.67
Digital & Creative Industry,0.70
Digital & Creative Industry,0.81
Digital & Creative Industry,0.72
Digital & Creative Industry,0.11
Digital & Creative Industry,0.09
Digital & Creative Industry,0.13
Digital & Creative Industry,0.11
Digital & Creative Industry,0.07
Digital & Creative Industry,0.19
Digital & Creative Industry,0.19
Digital & Creative Industry,0.09
Digital & Creative Industry,0.13
Digital & Creative Industry,0.12
Digital & Creative Industry,2.89
Digital & Creative Industry,2.56
Digital & Creative Industry,2.52
Digital & Creative Industry,1.25
Digital & Creative Industry,1.25
Digital & Creative Industry,1.33
Digital & Creative Industry,0.71
Digital & Creative Industry,0.77
Marine Industry,0.06
Marine Industry,0.06
Marine Industry,0.03
Marine Industry,0.03
Marine Industry,0.05
Marine Industry,0.04
Marine Industry,0.03
Marine Industry,0.05
Marine Industry,0.05
Marine Industry,0.04
Marine Industry,0.06
Marine Industry,0.03
Marine Industry,0.06
Marine Industry,0.06
Marine Industry,0.08
Marine Industry,0.07
Marine Industry,0.04
Marine Industry,0.07
Marine Industry,0.05
Marine Industry,0.04
Marine Industry,0.04
Marine Industry,0.04
Marine Industry,0.07
Marine Industry,0.08
Marine Industry,0.07
Marine Industry,0.06
Marine Industry,0.06
Marine Industry,0.07
Marine Industry,0.04
Marine Industry,0.05
Marine Industry,0.04
Marine Industry,0.06
Marine Industry,1.31
Marine Industry,1.27
Marine Industry,1.58
Marine Industry,1.25
Marine Industry,1.87
Marine Industry,1.76
Marine Industry,1.63
Marine Industry,2.02
Marine Industry,1.56
Marine Industry,1.85
Marine Industry,1.38
Marine Industry,1.72
Marine Industry,2.10
Marine Industry,1.06
Marine Industry,1.35
Marine Industry,0.39
Marine Industry,0.42
Marine Industry,0.54
Marine Industry,0.31
Marine Industry,0.33
Marine Industry,0.37
Marine Industry,0.25
Marine Industry,0.51
Marine Industry,0.29
Marine Industry,0.26
Marine Industry,0.47
Marine Industry,0.55
Marine Industry,0.34
Marine Industry,0.38
Marine Industry,0.03
Marine Industry,0.03
Marine Industry,0.02
Marine Industry,0.05
Marine Industry,0.05
Marine Industry,0.05
Marine Industry,0.03
Marine Industry,0.03
Marine Industry,0.05
Marine Industry,0.03
Marine Industry,0.05
Marine Industry,0.08
Marine Industry,0.09
Marine Industry,0.09
Marine Industry,0.10
Marine Industry,0.10
Marine Industry,0.08
Marine Industry,0.10
Marine Industry,0.10
Marine Industry,0.08
Marine Industry,0.05
Marine Industry,0.05
Marine Industry,0.10
Marine Industry,0.10
Marine Industry,0.85
Marine Industry,0.80
Marine Industry,1.01
Marine Industry,1.39
Marine Industry,1.37
Marine Industry,0.69
Marine Industry,1.15
Marine Industry,1.08
Marine Industry,0.89
Marine Industry,1.33
Marine Industry,1.03
Marine Industry,1.19
Marine Industry,0.91
Marine Industry,1.02
Marine Industry,1.43
Marine Industry,0.79
Marine Industry,0.81
Marine Industry,1.23
Marine Industry,1.35
Marine Industry,0.49
Marine Industry,0.43
Marine Industry,0.57
Marine Industry,0.48
Marine Industry,0.47
Marine Industry,0.65
Marine Industry,0.56
Marine Industry,0.65
Marine Industry,0.74
Marine Industry,0.51
Marine Industry,0.67
Marine Industry,0.53
Marine Industry,0.67
Marine Industry,0.45
Marine Industry,0.38
Marine Industry,0.67
Marine Industry,0.08
Marine Industry,0.11
Marine Industry,0.07
Marine Industry,0.09
Marine Industry,0.07
Marine Industry,0.09
Marine Industry,0.07
Marine Industry,0.10
Marine Industry,0.08
Marine Industry,0.08
Marine Industry,0.19
Marine Industry,0.21
Marine Industry,0.14
Marine Industry,0.12
Marine Industry,0.09
Marine Industry,0.14
Marine Industry,0.17
Marine Industry,0.15
Marine Industry,0.10
Marine Industry,0.15
Marine Industry,0.10
Marine Industry,0.17
Marine Industry,0.22
Marine Industry,2.14
Marine Industry,2.50
Marine Industry,1.76
Marine Industry,1.81
Marine Industry,2.21
Marine Industry,2.29
Marine Industry,1.49
Marine Industry,1.07
Marine Industry,2.19
Marine Industry,1.82
Marine Industry,1.97
Marine Industry,2.30
Marine Industry,1.15
Marine Industry,1.20
Marine Industry,1.10
Marine Industry,0.85
Marine Industry,0.80
Marine Industry,1.18
Marine Industry,0.55
Marine Industry,0.64
Marine Industry,0.60
Marine Industry,1.11
Marine Industry,0.70
Marine Industry,1.25
Marine Industry,0.78
Marine Industry,1.00
Marine Industry,0.73
Marine Industry,1.10
Marine Industry,1.14
Marine Industry,1.18
Marine Industry,0.54
Marine Industry,0.84
Marine Industry,1.18
Marine Industry,0.60
Marine Industry,0.96
Marine Industry,0.04
Marine Industry,0.03
Marine Industry,0.05
Marine Industry,0.04
Marine Industry,0.03
Marine Industry,0.04
Marine Industry,0.03
Marine Industry,0.03
Marine Industry,0.02
Marine Industry,0.03
Marine Industry,0.02
Marine Industry,0.04
Marine Industry,0.04
Marine Industry,0.03
Marine Industry,0.03
Marine Industry,0.03
Marine Industry,0.03
Marine Industry,0.03
Marine Industry,0.03
Marine Industry,0.05
Marine Industry,0.04
Marine Industry,0.05
Marine Industry,0.04
Marine Industry,0.05
Marine Industry,0.03
Marine Industry,0.03
Marine Industry,0.03
Marine Industry,0.04
Marine Industry,0.04
Marine Industry,0.05
Marine Industry,0.05
Marine Industry,0.04
Marine Industry,0.05
Marine Industry,0.05
Marine Industry,0.06
Marine Industry,0.04
Marine Industry,0.03
Marine Industry,0.05
Marine Industry,0.04
Marine Industry,0.03
Marine Industry,0.03
Marine Industry,0.67
Marine Industry,1.24
Marine Industry,0.62
Marine Industry,0.61
Marine Industry,1.30
Marine Industry,1.07
Marine Industry,0.93
Marine Industry,1.28
Marine Industry,1.19
Marine Industry,0.87
Marine Industry,0.54
Marine Industry,1.26
Marine Industry,0.65
Marine Industry,0.98
Marine Industry,1.30
Marine Industry,0.59
Marine Industry,0.89
Marine Industry,0.62
Marine Industry,0.61
Marine Industry,0.82
Marine Industry,0.83
Marine Industry,0.62
Marine Industry,0.22
Marine Industry,0.27
Marine Industry,0.18
Marine Industry,0.29
Marine Industry,0.33
Marine Industry,0.37
Marine Industry,0.22
Marine Industry,0.18
Marine Industry,0.30
Marine Industry,0.30
Marine Industry,0.29
Marine Industry,0.35
Marine Industry,0.34
Marine Industry,0.19
Marine Industry,0.29
Marine Industry,0.18
Marine Industry,0.24
Marine Industry,0.34
Marine Industry,0.19
Marine Industry,0.08
Marine Industry,0.07
Marine Industry,0.05
Marine Industry,0.06
Marine Industry,0.05
Marine Industry,0.04
Marine Industry,0.05
Marine Industry,0.06
Marine Industry,0.06
Marine Industry,0.06
Marine Industry,0.05
Marine Industry,0.08
Marine Industry,0.09
Marine Industry,0.11
Marine Industry,0.09
Marine Industry,0.12
Marine Industry,0.12
Marine Industry,0.09
Marine Industry,0.08
Marine Industry,0.11
Marine Industry,0.09
Marine Industry,0.08
Marine Industry,0.07
Marine Industry,3.95
Marine Industry,2.40
Marine Industry,5.10
Marine Industry,2.40
Marine Industry,3.25
Marine Industry,3.27
Marine Industry,3.70
Marine Industry,3.63
Marine Industry,2.54
Marine Industry,3.80
Marine Industry,3.54
Marine Industry,2.54
Marine Industry,3.65
Marine Industry,2.78
Marine Industry,4.10
Marine Industry,3.61
Marine Industry,4.05
Marine Industry,2.93
Marine Industry,4.13
Marine Industry,3.77
Marine Industry,3.76
Marine Industry,0.55
Marine Industry,0.75
Marine Industry,0.59
Marine Industry,1.10
Marine Industry,0.95
Marine Industry,0.73
Marine Industry,0.52
Marine Industry,1.03
Marine Industry,0.56
Marine Industry,0.77
Marine Industry,0.88
Marine Industry,0.05
Marine Industry,0.06
Marine Industry,0.04
Marine Industry,0.04
Marine Industry,0.05
Marine Industry,0.03
Marine Industry,0.07
Marine Industry,0.04
Marine Industry,0.04
Marine Industry,0.05
Marine Industry,0.03
Marine Industry,0.03
Marine Industry,0.05
Marine Industry,0.06
Marine Industry,0.06
Marine Industry,0.06
Marine Industry,0.04
Marine Industry,0.06
Marine Industry,0.06
Marine Industry,0.04
Marine Industry,0.04
Marine Industry,0.05
Marine Industry,0.05
Marine Industry,0.90
Marine Industry,0.56
Marine Industry,1.07
Marine Industry,0.70
Marine Industry,0.99
Marine Industry,0.51
Marine Industry,0.76
Marine Industry,0.75
Marine Industry,0.56
Marine Industry,0.72
Marine Industry,0.99
Marine Industry,0.66
Marine Industry,0.74
Marine Industry,0.49
Marine Industry,0.78
Marine Industry,0.69
Marine Industry,0.41
Marine Industry,0.35
Marine Industry,0.45
Marine Industry,0.52
Marine Industry,0.48
Marine Industry,0.25
Marine Industry,0.47
Marine Industry,0.54
Marine Industry,0.28
Marine Industry,0.29
Marine Industry,0.50
Marine Industry,0.45
Marine Industry,0.04
Marine Industry,0.06
Marine Industry,0.05
Marine Industry,0.05
Marine Industry,0.05
Marine Industry,0.10
Marine Industry,0.05
Marine Industry,0.08
Marine Industry,0.10
Marine Industry,0.05
Marine Industry,1.34
Marine Industry,1.07
Marine Industry,0.64
Marine Industry,1.00
Marine Industry,0.37
Marine Industry,0.47
Marine Industry,0.40
Marine Industry,0.57
Marine Industry,0.72
Marine Industry,0.00
Marine Industry,0.00
Marine Industry,0.00
Marine Industry,0.00
Marine Industry,0.00
Marine Industry,0.03
Marine Industry,0.04
Marine Industry,0.03
Marine Industry,0.05
Marine Industry,0.03
Marine Industry,0.06
Marine Industry,0.08
Marine Industry,0.08
Marine Industry,0.09
Marine Industry,0.07
Marine Industry,0.75
Marine Industry,1.12
Marine Industry,1.21
Marine Industry,0.38
Marine Industry,0.32
Marine Industry,0.66
Marine Industry,0.69
Marine Industry,0.35
Marine Industry,0.13
Marine Industry,0.09
Marine Industry,0.06
Marine Industry,0.09
Marine Industry,0.13
Marine Industry,0.12
Marine Industry,0.13
Marine Industry,0.11
Marine Industry,0.10
Marine Industry,0.10
Marine Industry,0.73
Marine Industry,1.04
Marine Industry,0.75
Marine Industry,0.51
Marine Industry,0.48
Marine Industry,0.73
Marine Industry,0.92
Marine Industry,0.52
Public & Private Transport Industry (not Freight),0.01
Public & Private Transport Industry (not Freight),0.02
Public & Private Transport Industry (not Freight),0.02
Public & Private Transport Industry (not Freight),0.02
Public & Private Transport Industry (not Freight),0.03
Public & Private Transport Industry (not Freight),0.02
Public & Private Transport Industry (not Freight),0.02
Public & Private Transport Industry (not Freight),0.02
Public & Private Transport Industry (not Freight),0.03
Public & Private Transport Industry (not Freight),0.03
Public & Private Transport Industry (not Freight),0.02
Public & Private Transport Industry (not Freight),0.02
Public & Private Transport Industry (not Freight),0.03
Public & Private Transport Industry (not Freight),0.04
Public & Private Transport Industry (not Freight),0.03
Public & Private Transport Industry (not Freight),0.04
Public & Private Transport Industry (not Freight),0.04
Public & Private Transport Industry (not Freight),0.04
Public & Private Transport Industry (not Freight),0.03
Public & Private Transport Industry (not Freight),0.03
Public & Private Transport Industry (not Freight),0.03
Public & Private Transport Industry (not Freight),0.03
Public & Private Transport Industry (not Freight),0.02
Public & Private Transport Industry (not Freight),0.02
Public & Private Transport Industry (not Freight),0.02
Public & Private Transport Industry (not Freight),0.03
Public & Private Transport Industry (not Freight),0.03
Public & Private Transport Industry (not Freight),0.02
Public & Private Transport Industry (not Freight),0.03
Public & Private Transport Industry (not Freight),0.02
Public & Private Transport Industry (not Freight),0.03
Public & Private Transport Industry (not Freight),0.03
Public & Private Transport Industry (not Freight),0.47
Public & Private Transport Industry (not Freight),0.38
Public & Private Transport Industry (not Freight),0.31
Public & Private Transport Industry (not Freight),0.52
Public & Private Transport Industry (not Freight),0.52
Public & Private Transport Industry (not Freight),0.36
Public & Private Transport Industry (not Freight),0.56
Public & Private Transport Industry (not Freight),0.27
Public & Private Transport Industry (not Freight),0.29
